physician_id,raters_group,completed_by,rater_name,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_listens_to_patients_and_their_families_concerns_and_responds_to_them_thoroughly,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_treats_patients_with_dignity_irrespective_of_their_religion_culture_age_race_sexual_orientation_gender_and_socio_economic_status,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_respects_patients_confidentiality_i_e_does_not_discuss_confidential_patient_information_in_areas_where_others_can_overhear_the_conversation_like_hallways_elevators_coffee_shops_etc,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_takes_time_to_explain_to_patients_their_medical_condition_treatment_options_methods_utilized_and_outcomes,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_treats_healthcare_workers_with_dignity_irrespective_of_their_religion_culture_age_race_sexual_orientation_and_gender,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_uses_respectful_language_with_other_healthcare_workers_i_e_avoids_abusive_language_offensive_comments_racial_or_ethnic_slurs_threats_of_violence_and_foul_or_rude_intimidating_language,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_responds_in_timely_fashion_to_phone_calls_and_paging_regarding_patient_care,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_arrives_on_time_to_scheduled_appointments_i_e_clinic_or_rounds_shift_etc,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_receptive_to_the_suggestions_and_concerns_of_other_healthcare_coworkers_both_physician_and_non_physician_health_providers,q_aubmc_evaluation_of_medical_staff_behavior_form_for_s_fn_s_ln_md_communicates_directly_and_clearly_with_healthcare_workers_both_physician_and_non_physician_health_providers_about_patient_care,comments,fillout_date
PHYS_d920f5a00584,Hospital Staff,PHYS_13b98b8d0c10,PHYS_e045b60449d2,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,D/A,06/25/23 08:20 AM
PHYS_2ec86dde8211,Hospital Staff,PHYS_13b98b8d0c10,PHYS_e045b60449d2,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,D/A,06/25/23 08:22 AM
PHYS_a261be663815,Hospital Staff,PHYS_13b98b8d0c10,PHYS_e045b60449d2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/25/23 08:23 AM
PHYS_15acfc9e0e6c,Hospital Staff,PHYS_13b98b8d0c10,PHYS_e045b60449d2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/25/23 08:25 AM
PHYS_386184a463dd,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,D/A,06/21/23 08:58 AM
PHYS_275b50e0b410,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,D/A,06/21/23 09:00 AM
PHYS_8f59f6be6839,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,D/A,06/21/23 09:03 AM
PHYS_128eb7334060,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,D/A,06/21/23 09:04 AM
PHYS_5a6d025ce91f,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/21/23 09:06 AM
PHYS_ef6863b21a42,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/21/23 09:07 AM
PHYS_f30aea089ea3,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,06/21/23 09:08 AM
PHYS_df5f76dbc953,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,06/21/23 09:09 AM
PHYS_343af737a77c,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,06/21/23 09:10 AM
PHYS_92df458d73ce,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/21/23 09:11 AM
PHYS_8a41b9458bd0,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,,,,,,,,,,,D/A,06/21/23 09:11 AM
PHYS_c01b77b1fef3,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/21/23 09:12 AM
PHYS_77649ca0900b,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,D/A,06/21/23 09:13 AM
PHYS_b7c50165ca33,Hospital Staff,PHYS_98ce4a2a7ec3,PHYS_c5c528b7ccc5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/21/23 09:14 AM
PHYS_0e40d0aae510,Faculty Self-Evaluation,PHYS_0e40d0aae510,PHYS_0e40d0aae510,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 12:35 PM
PHYS_9886ce9b1b67,Medical Staff,PHYS_c2a6e3ff953d,PHYS_11a7f55d567d,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,D/A,08/28/23 09:58 AM
PHYS_90673957dd97,Medical Staff,PHYS_c2a6e3ff953d,PHYS_11a7f55d567d,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,D/A,08/28/23 09:59 AM
PHYS_4e77fb1f767d,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:54 AM
PHYS_e28930872332,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,D/A,07/20/23 08:56 AM
PHYS_37dfdb6f29eb,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:56 AM
PHYS_6df779828f7b,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:57 AM
PHYS_a776330d6a32,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:57 AM
PHYS_f5f4b850e183,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:58 AM
PHYS_16ccc93f11c4,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:59 AM
PHYS_1fb96d137a2b,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 08:59 AM
PHYS_40b714e94a50,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:00 AM
PHYS_d83d142152e6,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:01 AM
PHYS_51d276f5a8d3,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,D/A,07/20/23 09:02 AM
PHYS_9ef5aa4833cc,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:03 AM
PHYS_cea13f9cac15,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:04 AM
PHYS_4034a678d376,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:05 AM
PHYS_4aeacdb3a4a6,Hospital Staff,PHYS_ba250e3e8726,PHYS_f2f716c668a5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/20/23 09:06 AM
PHYS_51df892c308a,Faculty Self-Evaluation,PHYS_51df892c308a,PHYS_51df892c308a,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,D/A,06/15/23 09:45 AM
PHYS_85a5920c4590,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/18/23 01:30 PM
PHYS_7e91f7e56fd6,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,D/A,08/18/23 01:30 PM
PHYS_4a8090d81fa2,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/23/23 08:55 AM
PHYS_d96d1fbcd51c,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/18/23 01:31 PM
PHYS_2401bb3f8ee0,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/18/23 01:31 PM
PHYS_0c7fca4357ff,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,08/23/23 11:27 AM
PHYS_63c6c95d0a19,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/18/23 01:32 PM
PHYS_4358aa6d482d,Hospital Staff,PHYS_3a53431e68a1,PHYS_dabaf0159bb0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,08/18/23 01:32 PM
PHYS_2cb7c4ef9c2d,Hospital Staff,PHYS_4aafcc469d7a,PHYS_000ca4d0f928,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 08:34 AM
PHYS_94bbf5d2e8eb,Hospital Staff,PHYS_4aafcc469d7a,PHYS_000ca4d0f928,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 08:34 AM
PHYS_56a6b961f2f5,Hospital Staff,PHYS_4aafcc469d7a,PHYS_000ca4d0f928,,,,,,,,,,,D/A,08/10/2023 09:31
PHYS_f0ddc75d7edf,Medical Staff,PHYS_9c33e297972a,PHYS_7d0df46c1c21,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,D/A,07/17/23 07:20 AM
PHYS_e5e9dae8fdb9,Medical Staff,PHYS_9c33e297972a,PHYS_7d0df46c1c21,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,D/A,07/17/23 07:21 AM
PHYS_24a62be3fc23,Medical Staff,PHYS_9c33e297972a,PHYS_7d0df46c1c21,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,D/A,07/17/23 07:22 AM
PHYS_0b77c31591f2,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,,,,,4.0,4.0,,4.0,4.0,4.0,D/A,06/15/23 03:03 PM
PHYS_c0ec96466136,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,,,,,4.0,4.0,,4.0,4.0,4.0,D/A,06/15/23 03:04 PM
PHYS_0f7dbc32ada3,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:04 PM
PHYS_a181ee51a3bd,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:04 PM
PHYS_1f0f25eeec49,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:05 PM
PHYS_20d06ace891d,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:05 PM
PHYS_d85b718fdd5d,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:05 PM
PHYS_3d4ce6827916,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:06 PM
PHYS_fbac4acc1040,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,,,,,,,,,,,D/A,06/15/23 03:07 PM
PHYS_e175501ebe36,Medical Staff,PHYS_d975d0cfddd4,PHYS_ae1df0420435,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/15/23 03:07 PM
PHYS_05378cdaf36f,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,3.0,4.0,4.0,3.0,4.0,4.0,,,3.0,3.0,D/A,07/17/23 11:35 AM
PHYS_7e84a74a69f8,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,D/A,07/17/23 11:36 AM
PHYS_6867b72e31e4,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,2.0,3.0,3.0,2.0,3.0,3.0,3.0,,,3.0,D/A,07/17/23 11:39 AM
PHYS_8d8e97de6a84,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,4.0,3.0,4.0,4.0,4.0,4.0,,,3.0,4.0,D/A,07/17/23 11:40 AM
PHYS_4a8090d81fa2,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,,,,,,,,,,,D/A,07/17/23 11:37 AM
PHYS_2401bb3f8ee0,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,,,,,,,,,,,D/A,07/17/23 11:39 AM
PHYS_ae524137e63d,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,3.0,,,3.0,4.0,4.0,,,3.0,3.0,D/A,07/17/23 11:42 AM
PHYS_15da50ecd3b3,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,D/A,07/17/23 11:43 AM
PHYS_2ea5bacd1678,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,,,,,,,,,,,D/A,07/17/23 11:41 AM
PHYS_062bed0d47f0,Medical Staff,PHYS_e3aa65b07622,PHYS_153406adf875,,,,,,,,,,,D/A,07/17/23 11:37 AM
PHYS_e50bfbdbd41d,Hospital Staff,PHYS_12b76e600a46,PHYS_65a06b108a28,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/24/23 02:46 PM
PHYS_123492dbdd6e,Hospital Staff,PHYS_12b76e600a46,PHYS_65a06b108a28,,,,,,,,,,,D/A,07/24/23 02:47 PM
PHYS_753edaf7505f,Hospital Staff,PHYS_12b76e600a46,PHYS_65a06b108a28,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,07/24/23 02:47 PM
PHYS_1a2e8d658c0d,Hospital Staff,PHYS_12b76e600a46,PHYS_65a06b108a28,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,A true leader,07/24/23 02:48 PM
PHYS_386184a463dd,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/30/23 07:32 PM
PHYS_275b50e0b410,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,D/A,06/30/23 07:34 PM
PHYS_8f59f6be6839,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:33 PM
PHYS_128eb7334060,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/30/23 07:35 PM
PHYS_5a6d025ce91f,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/30/23 07:36 PM
PHYS_ef6863b21a42,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:36 PM
PHYS_f30aea089ea3,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,D/A,06/30/23 07:37 PM
PHYS_df5f76dbc953,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:37 PM
PHYS_343af737a77c,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:38 PM
PHYS_92df458d73ce,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:38 PM
PHYS_8a41b9458bd0,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/30/23 07:39 PM
PHYS_c01b77b1fef3,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,D/A,06/30/23 07:40 PM
PHYS_77649ca0900b,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,,,,,,,,,,,D/A,06/30/23 07:41 PM
PHYS_b7c50165ca33,Hospital Staff,PHYS_d7b56c83b561,PHYS_bed3a7615f40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/30/23 07:39 PM
PHYS_cb68dae93506,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 02:52 PM
PHYS_79ec7590afb8,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:28 PM
PHYS_b6b7b2f9ec57,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:31 PM
PHYS_37bbf38d2487,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:32 PM
PHYS_baf99bfa461c,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:33 PM
PHYS_ab15099660cd,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:34 PM
PHYS_b28e5dc1b6a6,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:36 PM
PHYS_b73bb0f57f0a,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:34 PM
PHYS_6a8465128a14,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:36 PM
PHYS_738254be9bf6,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:37 PM
PHYS_23630ec6bd44,Hospital Staff,PHYS_7514edb588fc,PHYS_028b60f61f9e,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,D/A,07/21/23 06:38 PM
PHYS_c3c94ba18c88,Hospital Staff,PHYS_92859d9ce22b,PHYS_a963366496d4,3.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,Dr. Darwich is very good in everything except being late coming to clinic and he schedule OR appointments during the clinic time. ,07/21/23 08:50 AM
PHYS_81fe7e66b681,Hospital Staff,PHYS_92859d9ce22b,PHYS_a963366496d4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Dr. Marwan is the most professional Dr. he is always in time he is very respectful with the patients.,07/21/23 08:51 AM
PHYS_749615a95136,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,,,,,,,,,,,D/A,06/25/23 11:10 AM
PHYS_17b1b91e9add,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,D/A,06/25/23 11:11 AM
PHYS_4bf042862ce8,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,,,,,,,,,,,D/A,06/25/23 11:11 AM
PHYS_a54560881f80,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,D/A,06/25/23 11:12 AM
PHYS_0b77c31591f2,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,,,,,4.0,4.0,,,,,D/A,06/25/23 11:13 AM
PHYS_674ccaddbf58,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,D/A,06/25/23 11:14 AM
PHYS_22a4caf9c4c7,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,D/A,06/25/23 11:15 AM
PHYS_8577099393e3,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,D/A,07/20/23 11:55 AM
PHYS_8b430a0c69bc,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,,3.0,D/A,06/25/23 10:46 AM
PHYS_3d4ce6827916,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,D/A,07/20/23 11:56 AM
PHYS_8f940181e2b7,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,07/20/23 11:57 AM
PHYS_719ec762a045,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,,,,,,,,,,,D/A,06/25/23 11:10 AM
PHYS_fbac4acc1040,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,D/A,06/25/23 10:47 AM
PHYS_e175501ebe36,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,D/A,06/25/23 11:09 AM
PHYS_af8e43e0ecda,Medical Staff,PHYS_f6541e89f951,PHYS_42672d195063,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,D/A,06/25/23 10:49 AM
PHYS_17b1b91e9add,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,,4.0,D/A,08/24/23 11:03 AM
PHYS_4bf042862ce8,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:03 AM
PHYS_85a5920c4590,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:04 AM
PHYS_0b77c31591f2,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:05 AM
PHYS_b871429a7b4d,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:05 AM
PHYS_b329c20113ca,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:05 AM
PHYS_c0ec96466136,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,,,,,,,D/A,08/24/23 11:06 AM
PHYS_0f7dbc32ada3,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:07 AM
PHYS_8577099393e3,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:07 AM
PHYS_a181ee51a3bd,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:08 AM
PHYS_4a8090d81fa2,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:08 AM
PHYS_1f0f25eeec49,Hospital Staff,PHYS_8ca47179b6a7,PHYS_a795f20dc1a0,,,,,4.0,4.0,,,4.0,4.0,D/A,08/24/23 11:08 AM
